,SVC
BARBUNYA,0.9188191881918819
BOMBAY,0.972972972972973
CALI,0.9261538461538461
DERMASON,0.9247467438494935
HOROZ,0.9527363184079602
SEKER,0.9545454545454546
SIRA,0.8978805394990366
