,MLP
BARBUNYA,0.922509225092251
BOMBAY,0.972972972972973
CALI,0.9384615384615385
DERMASON,0.9232995658465991
HOROZ,0.9427860696517413
SEKER,0.937799043062201
SIRA,0.9017341040462428
