,RandomForest
BARBUNYA,0.9003690036900369
BOMBAY,1.0
CALI,0.916923076923077
DERMASON,0.9276410998552822
HOROZ,0.945273631840796
SEKER,0.9401913875598086
SIRA,0.8786127167630058
