,KNN
BARBUNYA,0.8892988929889298
BOMBAY,0.972972972972973
CALI,0.9415384615384615
DERMASON,0.9218523878437048
HOROZ,0.9527363184079602
SEKER,0.9497607655502392
SIRA,0.8766859344894027
