,GradientBoosting
BARBUNYA,0.9261992619926199
BOMBAY,1.0
CALI,0.9446153846153846
DERMASON,0.9175108538350217
HOROZ,0.9552238805970149
SEKER,0.9473684210526315
SIRA,0.8805394990366089
